Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2023","2023","t","7065.43","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2023","2023","1000 USD","6493","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01329","Other citrus fruit, n.e.c.","2017","2017","t","1.51","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01329","Other citrus fruit, n.e.c.","2017","2017","1000 USD","5","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01329","Other citrus fruit, n.e.c.","2018","2018","t","63.2","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01329","Other citrus fruit, n.e.c.","2018","2018","1000 USD","88","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01329","Other citrus fruit, n.e.c.","2019","2019","t","86.8","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01329","Other citrus fruit, n.e.c.","2019","2019","1000 USD","181","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01329","Other citrus fruit, n.e.c.","2022","2022","t","4.06","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01329","Other citrus fruit, n.e.c.","2022","2022","1000 USD","13","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01329","Other citrus fruit, n.e.c.","2023","2023","t","22.72","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01329","Other citrus fruit, n.e.c.","2023","2023","1000 USD","76","X","Figure from external organization","Estimated data using trading partners database"
